job_title,company_name,location,about,responsibilities,qualifications,preferred_qualifications,skills,education,compensation,minimum_years_experience,original_url,original_epoch_time,original_api_salary_min,original_api_salary_max,original_id
Technical Lead DevOps,Magnet Forensics,United States,,"['We are on the hunt for a talented', 'Technical Lead, DevOps Engineer', 'to join our ranks! This role is responsible for building and delivering the next generation of Digital Forensics products which help investigators get to truth while protecting the innocent.', 'You will lead the team responsible for delivering our SaaS platform in a', 'FedRAMP', 'environment, starting with the build-out of the environment and systems, and continuing into high performance operations of the products within that environment.', 'This role may evolve into a formal management role, depending upon the candidate.', 'NOTE: Candidate must reside in The United States and hold US Citizenship.', '\\n', 'Role Responsibilities:', 'Understand FedRAMP requirements, and, in collaboration with product teams, vendors, and your own team, build out and maintain a compliant environment;', 'Contribute to effective partner relationships;', 'Receive handoffs of product from product teams, and then deploy and operate those products in the FedRAMP environment;', 'Responsible for SaaS performance (DORA metrics + uptime)', 'Responsible for team efficiency, identifying and advocating for improvements across process, tools, and architecture;', ""Work with stakeholders to manage the team's roadmap;"", 'Analyze requirements, break down tasks and estimate effort;', 'Take initiative, build strong teams and relationships, and communicate effectively;', 'Collaborate with product and support engineers to resolve issues, including in customer-facing calls;', ""Build DevOps automation to accomplish the team's goals"", 'Participate in code reviews;', 'Troubleshoot, debug and fix defects;', 'Communication across the team and throughout the organization from technical ICs to executives, to share knowledge and build consensus;', 'Provide informal and formal mentorship within and outside the team;', 'Travel: 5%.']","['3+ years of experience operating a SaaS in a leading technical role;', 'Influential leadership of colleagues;', 'Experience working through compliance initiatives (e.g. FedRAMP, SOC2, NIST 800-53);', '4+ years of experience writing software in a high-level language in a DevOps environment.  (Python, C#, etc.)', '4+ years of experience managing Linux systems and containers;', '2+ years of experience building and maintaining Kubernetes clusters;', 'Proficiency working with an Infrastructure-as-Code first mindset (Terraform, Cloud Formation/CDK, Kubernetes manifests, Helm charts);', 'Experience working with Cloud Providers', '(We use AWS!)', ';', 'Proficiency in Linux shell scripting (create, debug, maintain, etc.);', 'Proficiency with networking design, protocols, and security;', 'Proficiency using Git based version control systems.', 'Experience writing and managing POA&Ms.']","['Experience building and maintaining CI/CD pipelines;', 'Experience with alerting, observability, and telemetry', '(We use Prometheus/Grafana!)', ';', 'Experience working in high security environments (including GovCloud);', 'Experience managing relational databases;', 'Experience generating effective and efficient project documentation;', 'Experience with Argo.']","['aws', 'c#', 'cloud', 'code', 'devops', 'embedded', 'git', 'kubernetes', 'lead', 'leader', 'leadership', 'linux', 'management', 'networking', 'nist', 'operations', 'python', 'recruitment', 'saas', 'sales', 'security', 'soc2', 'software', 'support', 'technical', 'terraform', 'version control']",[],"['MIN: $152,000 - MID: $190,000 - MAX: $228,000 USD', 'Magnet Forensics is proud to offer Benefits such as:', 'Generous Time Off Policies;', 'Competitive Compensation;', 'Volunteer Opportunities;', 'Reward and Recognition Programs;', 'Employee Committees & Resource Groups;', 'Healthcare and Retirement Benefits.', '\\n', 'The Most Important Thing', ""We're looking for candidates that can provide examples of how they have demonstrated Magnet"", 'CODE', 'in their previous experiences:', 'CARE', '– We care about each other and our mission to make a difference in the world.', 'OWN', '– We are accountable for our results – while never forgetting to act with integrity, empathy, and respect.', 'DEDICATE', '– We put our heart and soul into meeting the needs of our customers and helping them serve the people they protect.', 'EVOLVE', '– We are constantly innovating and exploring new ways to work together to make an impact with our work.', ""Here at Magnet Forensics, we are committed to continuous learning and are focused on building a diverse and inclusive workforce. This commitment will be reflected in our hiring processes and embedded in our values and how we treat one another. If you're interested in this role, but do not meet all of the qualifications listed above, we encourage you to apply anyways."", 'Magnet Forensics is an Equal Opportunity Employer and considers applicants for employment without regard to race, colour, religion, sex, orientation, national origin, age, disability, genetics or any other basis forbidden under federal, provincial, or local law.  We are committed to providing an inclusive, accessible recruitment process and work environment. Accommodation is available to all applicants upon request throughout the hiring process. Please contact', 'aoda@magnetforensics.com', 'should you require any accommodations.', ""All offers of employment at Magnet are contingent upon satisfactory completion of a background check. All background checks will be conducted in accordance with all applicable laws. Magnet will consider each position's job duties, among other factors, in determining what constitutes satisfactory completion of the background check. Refusal to consent to a background check may be grounds for revoking an offer of employment."", 'US Applicants:', 'Magnet Forensics participates in E-Verify and will provide the federal government with your Form I-9 information to confirm that you are authorized to work in the U.S.', ""Please mention the word **COURAGEOUS** and tag RMzguNjguMTM0LjE5NA== when applying to show you read the job post completely (#RMzguNjguMTM0LjE5NA==). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.""]",3.0,https://remoteOK.com/remote-jobs/remote-technical-lead-devops-magnet-forensics-1093224,1748116803,55000,75000,1093224
Full Stack Engineer,MediaLab,Santa Monica,,"['Build and ship high-quality site features, working with a Rails backend and a React front-end', 'Proactively identify and fix infrastructure bottlenecks to scale backend services to tens of thousands of requests per minute', 'Work with product design team to build rich, intuitive user experiences in the browser', 'Architect database query patterns and migrations that scale to large tables with 1B+ rows', 'Take ownership over the features you build, proactively identifying and surfacing UX, performance and maintainability improvements', 'During your on-call rotation, be the backstop for site quality, stability, and performance. Triage incoming issues to find the most urgent problems, and handle emergent incidents to keep the site online.', 'Work directly with stakeholders to uncover and address business needs, including product owners, designers and other engineers across the company', ""What We're Searching For"", 'Proficiency with a ""batteries-included"" backend framework like Ruby on Rails (or similar). Candidates should be comfortable working with large, established codebases, and have an understanding of architectural patterns necessary to build APIs at scale', 'Experience building user-friendly interfaces using a modern, component-based front-end framework (React, Vue, Angular, etc). including proficiency in state management, end-to-end testing, and CSS-in-JS.', 'Proficiency with SQL and relational databases. Candidates should be able to design database schemas, write complex queries, and optimize performance for scale', 'Product Ownership: Brings a product-first mindset, able to drive projects from ideation to launch while focusing on user needs, business impact, and cross-functional alignment.', 'Collaboration & Communication: Comfortable working cross-functionally with design, product, and other engineering teams to ensure clarity, alignment, and smooth execution of projects.', 'Continuous Learning: Demonstrates a passion for staying current with new technologies, frameworks, and industry best practices—proactively applying improvements to code quality and team workflows.', 'Experience: At least 2 years of hands-on experience in a technical engineering capacity, preferably in a fast-paced or product-driven environment.', ""Education (Preferred): Bachelor's degree in Computer Science, Engineering, or a related technical field."", '\\n', ""At MediaLab, we rely on a range of backgrounds, experiences, and ideas. We value diversity, and we're proud to be an inclusive, equal opportunity workplace."", ""Please mention the word **SMOOTHEST** and tag RMzguNjguMTM0LjE5NA== when applying to show you read the job post completely (#RMzguNjguMTM0LjE5NA==). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.""]",[],[],"['backend', 'code', 'design', 'digital nomad', 'engineer', 'engineering', 'front-end', 'frontend', 'full-stack', 'music', 'rails', 'react', 'reliability', 'ruby', 'security', 'technical', 'transcribe']",[],[],,https://remoteOK.com/remote-jobs/remote-full-stack-engineer-medialab-1093223,1748030401,70000,130000,1093223
Senior Software Engineer,Contra,GraphQL,,[],[],[],"['dev', 'engineer', 'full stack']",[],"['Health + dental benefits', 'Home Office Budget', 'We will provide you with a company laptop on your start date', 'Interview Process', 'Intro Call with Recruiting Team (15-20 minutes)', 'Technical Interview with Hiring Manager (45 minutes)', 'Culture & Cross-Functional Interview (45 minutes)', 'Paid Technical Assessment (3 hours) + Presentation (60 minutes)', 'CTO & Co-Founder', 'Engineering Manager', 'Interview with CEO & Co-Founder (30 minutes)', 'Note: Contra communicates with applicants through @contra.com domains only. We never ask for money from potential employees. For the latest job postings, visit', 'Contra Careers', '.', ""Please mention the word **SUBSIDIZES** and tag RMzguNjguMTM0LjE5NA== when applying to show you read the job post completely (#RMzguNjguMTM0LjE5NA==). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.""]",,https://remoteOK.com/remote-jobs/remote-senior-software-engineer-contra-1093221,1748011468,120000,150000,1093221
Frontend Software Engineer,Bitwise Asset Management,MassMutual,,"['Craft delightful production experiences.', 'Collaborate with marketing & engineering teams to build', 'polished user interfaces', 'with exceptional', 'code quality and performance', "". You'll transform designs into pixel-perfect implementations with attention to every interaction detail."", 'Evolve our frontend architecture.', 'Take ownership of our', 'React/Next.js and TypeScript codebase', ', ensuring it remains', 'maintainable, scalable, and performant', "". You'll implement best practices and architectural patterns that help our systems grow with the business."", 'Lead critical frontend migrations.', 'Spearhead the', 'transition from Next Pages router to App router', "", establishing patterns and practices while ensuring minimal disruption. You'll create a roadmap and execute the migration that modernizes our application architecture."", 'Enable global product reach.', 'Introduce', 'localization and multi-country support', ""to our Expert Portal, making it accessible for our European team. You'll implement internationalization best practices while maintaining a consistent user experience."", 'Build new crypto experiences.', 'Help develop a', 'new staking application frontend', 'for Bitwise Onchain, applying your frontend expertise to create intuitive interfaces for complex financial operations.', 'Drive engineering excellence.', 'Continuously improve our', 'processes, tools, and systems', ""to scale both our codebase and team productivity. You'll participate in"", 'code reviews', 'and help establish quality standards across the organization.', 'Collaborate with stakeholders.', 'Work closely with business teams to translate requirements into', 'reliable, scalable frontend solutions', "". You'll own projects end-to-end while aligning stakeholders to common goals and driving to finished outputs.""]","['3+ years of React/Next.js and TypeScript frontend development experience', 'Portfolio demonstrating UI and engineering work', 'Familiarity with CSS styling approaches (css-in-js and Tailwind)', 'Knowledge of design patterns and common UX flows', 'Experience with headless CMS platforms and REST APIs', 'Fast-moving with a bias for impact and willingness to advocate for your work', 'Strong sense of ownership and ability to lead projects while aligning stakeholders', 'Clear written and verbal communication skills', 'Interest in learning about crypto and investments', '(Plus) Understanding of design principles and experience with design tools like Figma', '(Plus) Experience with monorepo structures like Turborepo', '(Plus) Familiarity with analytics tools (GA4, Mixpanel) and data-driven validation', ""(Plus) Bachelor's degree in Computer Science or equivalent""]",[],"['analytics', 'bitcoin', 'cms', 'code', 'communication', 'crypto', 'css', 'design', 'digital nomad', 'engineer', 'engineering', 'ethereum', 'exec', 'figma', 'finance', 'financial', 'frontend', 'investment', 'lead', 'management', 'marketing', 'next.js', 'react', 'software', 'typescript', 'ui', 'ux']",[],"['Competitive salary', 'Eligible for equity', 'Health, dental, vision insurance', '401K plan (company funded, no match required)', 'Unlimited PTO plus 10 paid holidays', 'Meals/snacks in office', 'Paid cell phone or stipend', 'Bitwise ""Buddy"" Program (30 day onboarding)', 'Annual birthday/anniversary gifts', 'Company wide events', '\\n', '$150,000 - $170,000 a year', 'Equity compensation as a component of all offers', '\\n', 'Bitwise is an equal opportunity employer. We are committed to building a team of people with a variety of backgrounds, perspectives, and skills. It is the policy of Bitwise to ensure equal opportunity. All candidates are considered without regard to race, color, religion, national origin, age, sex, sexual orientation, gender identity, marital status, ancestry, physical or mental disability, veteran status, or any other legally protected characteristics.', ""Please mention the word **GAINFUL** and tag RMzguNjguMTM0LjE5NA== when applying to show you read the job post completely (#RMzguNjguMTM0LjE5NA==). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.""]",3.0,https://remoteOK.com/remote-jobs/remote-frontend-software-engineer-bitwise-asset-management-1093220,1748008810,72500,120000,1093220
Job 23799 SÃªnior Java Developer Brazil,CI&amp;T,IA,,[],[],[],"['design', 'developer', 'devops', 'digital nomad', 'front-end', 'java']",[],[],,https://remoteOK.com/remote-jobs/remote-job-23799-senior-java-developer-brazil-ciampt-1093219,1747958406,65000,100000,1093219
Software Engineer,Titan,Titan,,[],[],[],"['backend', 'code', 'design', 'digital nomad', 'engineer', 'frontend', 'growth', 'health', 'lead', 'marketing', 'software', 'test', 'web']",[],"[""We at Titan love our jobs. And it's no surprise – we get to work on exciting and new projects, in a vibrant atmosphere that is designed to be comfortable and conducive for our personal and professional growth. And Titan goes the extra mile to make you feel at home. We offer benefits ranging from affordable catered meals and even snacks on the house. Our workspaces are welcoming and fun, complete with bean bag chairs and ping pong tables. You are free to wear what makes you comfortable and choose the hours you keep as a team. Oh, and we've got your family covered too, with excellent health insurance plans and other benefits. In short, everything you need to be your best self at work! If you like the idea of working on solutions that have a truly global impact, get in touch!"", '\\n', ""Please mention the word **ACCLAMATION** and tag RMzguNjguMTM0LjE5NA== when applying to show you read the job post completely (#RMzguNjguMTM0LjE5NA==). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.""]",,https://remoteOK.com/remote-jobs/remote-software-engineer-titan-1093216,1747922404,70000,110000,1093216
Software Engineer Backend Fullstack,Sei Labs,Robinhood,,"['Code/Manage Sei web2 backends (indexers, backend APIs, etc).', 'Code/Manage Sei frontends (website, governance platform, foundation website page, etc).', '#LI-CG1', '\\n', ""Please mention the word **EXTRAORDINARY** and tag RMzguNjguMTM0LjE5NA== when applying to show you read the job post completely (#RMzguNjguMTM0LjE5NA==). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.""]","['3+ years of experience with full-stack development, with a focus on frontend', 'Proficiency with one of JavaScript, TypeScript,', 'Node.js', 'Web3 experience & smart contract experience is a nice to have', 'Experience with database management using SQL, NoSQL, or similar technologies', 'Experience with cloud technologies such as AWS, Terraform']",[],"['aws', 'backend', 'cloud', 'engineer', 'engineering', 'full-stack', 'fullstack', 'javascript', 'management', 'node.js', 'nosql', 'software', 'sql', 'terraform', 'typescript', 'web3']",[],[],3.0,https://remoteOK.com/remote-jobs/remote-software-engineer-backend-fullstack-sei-labs-1093215,1747915203,60000,85000,1093215
Jr Business Analyst,HealthCare,Us,,"['●Collaborate with business and product leaders to define and document opportunities for CRM enhancements', '●Learn and apply basic SQL to extract and analyze operational and sales data', '●Build dashboards and visual reports to support strategic decision-making across departments', '●Document business processes and assist in developing standard operating procedures (SOPs) for the CRM platform', '●Participate in user feedback sessions and research to better understand stakeholder needs', '●Contribute to the development of project documentation and analysis summaries for leadership review', '●Develop a practical understanding of sales operations and technology project workflows']","[""●Currently enrolled in a Bachelor's program in Business Management, Economics, Marketing, Computer Science or a related field (Junior or Senior standing preferred)"", '●Strong analytical skills with attention to detail and a willingness to learn new technical tools', '●Immaculate problem solving capabilities', '●Interest in consulting, business analytics, or product management', '●Strong written and verbal communication skills', '●Ability to work independently in a remote, fast-paced environment', '●Experience with Microsoft Excel or Google Sheets; familiarity with SQL or willingness to learn', 'What You Will Gain', '●Hands-on experience working on customer-facing technical projects', '●Training on how to gather requirements for future features, present those requirements through the software development life cycle, conduct software demonstrations and user acceptance testing, and post-release impact analysis.', '●Practical exposure to SQL and data visualization best practices', '●Foundational knowledge of business analysis, stakeholder management, and operations', '●An in-depth look at how technology supports sales and marketing in a high-growth environment', '●Preparation for entry-level roles or internships in consulting, analytics, or product development', '\\n', '\\n']",[],"['analyst', 'analytical skills', 'business analysis', 'communication', 'data visualization', 'excel', 'growth', 'health', 'internship', 'marketing', 'medical', 'microsoft', 'operational', 'operations', 'product management', 'sales', 'senior', 'software', 'sql', 'stakeholder management', 'students', 'support', 'technical']",[],"['Opportunity to work from home', 'Excellent work environment', 'Medical, dental, and vision insurance', 'Up to 15 days of paid time off', '11 company observed holidays', '8 weeks of paid parental leave', '401k plan with company match', 'Life insurance', 'Professional growth opportunity', 'Most importantly, an inclusive company culture established by an incredible team!', 'Get to Know Us!', 'https://www.healthcare.com/', 'linkedin.com/company/healthcare-com', ""Please mention the word **BLESSING** and tag RMzguNjguMTM0LjE5NA== when applying to show you read the job post completely (#RMzguNjguMTM0LjE5NA==). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.""]",,https://remoteOK.com/remote-jobs/remote-jr-business-analyst-healthcare-1093213,1747900812,55000,70000,1093213
Pessoa Advogada Jr Privacidade e ProteÃ§Ã£o de Dados,Neon Pagamentos,Sobre,,[],[],[],"['design', 'digital nomad']",[],[],,https://remoteOK.com/remote-jobs/remote-pessoa-advogada-jr-privacidade-e-protecao-de-dados-neon-pagamentos-1093211,1747872007,150000,165000,1093211
project manager,Prime design and build,nan,"At
Prime Design & Build
, we're more than a construction company—we're a full-service design-build firm dedicated to creating spaces that reflect our clients' lifestyle, values, and long-term needs. Based in California, we specialize in residential remodeling, new construction, and accessory dwelling units (ADUs), with a sharp focus on quality craftsmanship, customer service, and project efficiency.
Role Overview
We are looking for a
detail-oriented, proactive, and highly organized Remote Project Manager
to oversee multiple residential construction projects from start to finish. You will be the bridge between our in-field teams, design department, permit division, and clients—ensuring every project moves smoothly, stays on schedule, and remains within budget.","['Oversee day-to-day progress of 3–6 active residential construction projects', 'Coordinate schedules with field crews, subcontractors, and inspectors', 'Review and manage project timelines, change orders, and milestone completions', 'Communicate clearly and regularly with clients, addressing concerns and managing expectations', 'Collaborate with architects, designers, and engineers to ensure plans are executed accurately', 'Track materials, delivery schedules, and jobsite needs using our internal systems', 'Monitor job costs and ensure all billing is aligned with project scope and progress', 'Ensure compliance with local building codes, permit requirements, and safety regulations', 'Submit and follow up on inspections and permit status (as needed)']","['3+ years of project management experience in residential construction or remodeling', 'Strong understanding of residential construction workflows, timelines, and terminology', 'Excellent communication and coordination skills across departments and stakeholders', 'Ability to read architectural plans, scopes of work, and city permit documents', 'Self-motivated and capable of working independently in a fast-paced, remote setting', 'Tech-savvy with project management software (Buildertrend, Procore, Monday.com, or similar)', 'Bilingual in English/Spanish is a plus', 'Working Conditions', 'Fully remote, but must be available during Pacific Time Zone working hours (8 AM–6 PM PT)', 'Weekly team meetings via Zoom and daily check-ins via Slack']",[],"['communication', 'design', 'excel', 'monday.com', 'other', 'project management', 'project manager', 'slack']",[],"['Competitive salary (based on experience)', 'Performance-based bonuses', 'Opportunity for growth and leadership within a fast-scaling company', 'Collaborative, no-drama company culture focused on quality and accountability', ""Please mention the word **RESTFUL** and tag RMzguNjguMTM0LjE5NA== when applying to show you read the job post completely (#RMzguNjguMTM0LjE5NA==). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.""]",3.0,https://remoteOK.com/remote-jobs/remote-project-manager-prime-design-and-build-1093210,1747870645,10000,30000,1093210
